t,K_B,K_B_prony,K_C,K_C_prony
0.2085213033,2.314635642e-05,2.304127112e-06,-0.0004616586321,-0.0004157045866
0.2095238095,2.298062282e-05,2.160803603e-06,-0.0004473227424,-0.0004018262325
0.2105263158,2.342972965e-05,2.026400849e-06,-0.0004338585932,-0.0003884133971
0.2115288221,2.28292112e-05,1.900363112e-06,-0.0004201359077,-0.0003754503313
0.2125313283,2.090447411e-05,1.782169319e-06,-0.0004059541617,-0.0003629218272
0.2135338346,1.910485709e-05,1.671330895e-06,-0.0003922690416,-0.0003508131988
0.2145363409,1.874485015e-05,1.56738973e-06,-0.0003799487938,-0.0003391102637
0.2155388471,1.933410136e-05,1.469916283e-06,-0.0003686539412,-0.0003277993253
0.2165413534,1.921575026e-05,1.378507789e-06,-0.0003572622322,-0.0003168671558
0.2175438596,1.76806683e-05,1.292786595e-06,-0.0003452845663,-0.0003063009797
0.2185463659,1.585825773e-05,1.212398587e-06,-0.0003334640757,-0.0002960884581
0.2195488722,1.526353137e-05,1.137011721e-06,-0.0003228048797,-0.0002862176734
0.2205513784,1.5867671e-05,1.06631465e-06,-0.0003132787087,-0.0002766771145
0.2215538847,1.614757696e-05,1.000015425e-06,-0.0003038554253,-0.0002674556625
0.222556391,1.503338925e-05,9.378402911e-07,-0.0002938065657,-0.0002585425775
0.2235588972,1.326258951e-05,8.795325492e-07,-0.0002836142851,-0.0002499274851
0.2245614035,1.242576277e-05,8.24851492e-07,-0.0002743345147,-0.0002416003636
0.2255639098,1.293706335e-05,7.73571407e-07,-0.0002662372762,-0.0002335515321
0.226566416,1.351754767e-05,7.254806414e-07,-0.0002584580992,-0.0002257716384
0.2275689223,1.283435032e-05,6.803807248e-07,-0.0002500944162,-0.0002182516479
0.2285714286,1.119387532e-05,6.380855479e-07,-0.0002413410442,-0.0002109828324
0.2295739348,1.01372164e-05,5.984205908e-07,-0.00023322169,-0.0002039567596
0.2305764411,1.047032573e-05,5.612222015e-07,-0.0002262699744,-0.000197165283
0.2315789474,1.124551996e-05,5.263369177e-07,-0.0002198450624,-0.0001906005317
0.2325814536,1.09802363e-05,4.936208321e-07,-0.0002129459877,-0.0001842549014
0.2335839599,9.544939502e-06,4.629389964e-07,-0.000205476888,-0.0001781210451
0.2345864662,8.315403037e-06,4.341648638e-07,-0.0001983514842,-0.000172191864
0.2355889724,8.410819752e-06,4.071797644e-07,-0.0001923140361,-0.0001664604991
0.2365914787,9.273068136e-06,3.818724155e-07,-0.0001869860381,-0.0001609203232
0.237593985,9.389646579e-06,3.581384606e-07,-0.0001813481464,-0.0001555649329
0.2385964912,8.223397806e-06,3.35880038e-07,-0.0001750327313,-0.0001503881405
0.2395989975,6.886416733e-06,3.150053768e-07,-0.0001687775408,-0.0001453839672
0.2406015038,6.712278702e-06,2.954284169e-07,-0.0001634709894,-0.0001405466358
0.24160401,7.558769862e-06,2.770684534e-07,-0.0001590142175,-0.0001358705637
0.2426065163,8.000421773e-06,2.598498035e-07,-0.0001544476494,-0.0001313503563
0.2436090226,7.150429519e-06,2.437014934e-07,-0.0001491706753,-0.0001269808004
0.2446115288,5.782921657e-06,2.28556965e-07,-0.0001436952619,-0.0001227568587
0.2456140351,5.334930393e-06,2.143538014e-07,-0.0001389794788,-0.000118673663
0.2466165414,6.073971103e-06,2.010334687e-07,-0.0001351996796,-0.0001147265089
0.2476190476,6.767125154e-06,1.885410743e-07,-0.0001315265229,-0.0001109108502
0.2486215539,6.259997098e-06,1.768251404e-07,-0.0001271813344,-0.0001072222933
0.2496240602,4.943091316e-06,1.658373912e-07,-0.0001224197089,-0.0001036565923
0.2506265664,4.242654088e-06,1.555325538e-07,-0.0001181927103,-0.0001002096439
0.2516290727,4.799023895e-06,1.458681713e-07,-0.0001149269241,-9.687748248e-05
0.2526315789,5.658557304e-06,1.368044274e-07,-0.0001119811223,-9.365627554e-05
0.2536340852,5.498251745e-06,1.283039821e-07,-0.0001084648149,-9.054231912e-05
0.2546365915,4.310210461e-06,1.203318177e-07,-0.000104367345,-8.753203348e-05
0.2556390977,3.401012215e-06,1.128550941e-07,-0.0001005597563,-8.462195892e-05
0.256641604,3.72010308e-06,1.058430136e-07,-9.7675962e-05,-8.180875169e-05
0.2576441103,4.655298219e-06,9.926669357e-08,-9.530428089e-05,-7.908918008e-05
0.2586466165,4.82294795e-06,9.309904738e-08,-9.25146581e-05,-7.646012065e-05
0.2596491228,3.832730104e-06,8.731467268e-08,-8.904092935e-05,-7.391855458e-05
0.2606516291,2.775962094e-06,8.188974663e-08,-8.561005615e-05,-7.14615641e-05
0.2616541353,2.826480807e-06,7.680192757e-08,-8.300634763e-05,-6.908632913e-05
0.2626566416,3.747394675e-06,7.203026299e-08,-8.107010714e-05,-6.679012397e-05
0.2636591479,4.202854376e-06,6.755510301e-08,-7.890426373e-05,-6.457031411e-05
0.2646616541,3.464635182e-06,6.335801944e-08,-7.601702056e-05,-6.242435317e-05
0.2656641604,2.333195991e-06,5.942172976e-08,-7.294064662e-05,-6.034977993e-05
0.2666666667,2.108163818e-06,5.573002585e-08,-7.05436676e-05,-5.834421547e-05
0.2676691729,2.93193698e-06,5.226770722e-08,-6.892082765e-05,-5.64053604e-05
0.2686716792,3.617134827e-06,4.902051829e-08,-6.72753441e-05,-5.453099217e-05
0.2696741855,3.166165633e-06,4.597508966e-08,-6.493572592e-05,-5.271896251e-05
0.2706766917,2.038122824e-06,4.311888298e-08,-6.220577944e-05,-5.096719492e-05
0.271679198,1.554029319e-06,4.04401393e-08,-5.996825266e-05,-4.927368228e-05
0.2726817043,2.210506817e-06,3.792783058e-08,-5.855534941e-05,-4.763648448e-05
0.2736842105,3.054198975e-06,3.557161426e-08,-5.73277339e-05,-4.605372621e-05
0.2746867168,2.904569226e-06,3.336179064e-08,-5.549211102e-05,-4.452359477e-05
0.2756892231,1.856640325e-06,3.128926288e-08,-5.310868306e-05,-4.304433797e-05
0.2766917293,1.150752627e-06,2.934549956e-08,-5.100601623e-05,-4.161426209e-05
0.2776942356,1.586819781e-06,2.752249948e-08,-4.971950559e-05,-4.023172996e-05
0.2786967419,2.510131459e-06,2.581275874e-08,-4.88104034e-05,-3.8895159e-05
0.2796992481,2.65428818e-06,2.42092398e-08,-4.742862311e-05,-3.760301946e-05
0.2807017544,1.755979387e-06,2.270534251e-08,-4.53946751e-05,-3.635383259e-05
0.2817042607,8.825608459e-07,2.129487686e-08,-4.342111591e-05,-3.514616897e-05
0.2827067669,1.065073157e-06,1.997203756e-08,-4.21980572e-05,-3.397864686e-05
0.2837092732,1.987174014e-06,1.873138009e-08,-4.151379089e-05,-3.284993057e-05
0.2847117794,2.396883171e-06,1.756779827e-08,-4.052858507e-05,-3.175872895e-05
0.2857142857,1.705324859e-06,1.647650321e-08,-3.884529448e-05,-3.07037939e-05
0.286716792,7.308942196e-07,1.545300366e-08,-3.700961415e-05,-2.96839189e-05
0.2877192982,6.484579856e-07,1.449308742e-08,-3.58077865e-05,-2.869793766e-05
0.2887218045,1.492539771e-06,1.359280406e-08,-3.526334172e-05,-2.774472274e-05
0.2897243108,2.121278387e-06,1.274844862e-08,-3.461093411e-05,-2.682318427e-05
0.290726817,1.676824988e-06,1.195654636e-08,-3.327374461e-05,-2.593226869e-05
0.2917293233,6.743857283e-07,1.121383846e-08,-3.159437015e-05,-2.507095755e-05
0.2927318296,3.37378443e-07,1.051726858e-08,-3.039131829e-05,-2.42382663e-05
0.2937343358,1.036388545e-06,9.86397031e-09,-2.991328251e-05,-2.34332432e-05
0.2947368421,1.823571235e-06,9.251255319e-09,-2.952539236e-05,-2.26549682e-05
0.2957393484,1.647188538e-06,8.676602331e-09,-2.852148241e-05,-2.190255189e-05
0.2967418546,6.900441975e-07,8.137646723e-09,-2.702156904e-05,-2.117513447e-05
0.2977443609,1.285650336e-07,7.632170793e-09,-2.581241851e-05,-2.047188477e-05
0.2987468672,6.296254064e-07,7.158094629e-09,-2.534112669e-05,-1.979199929e-05
0.2997493734,1.505621895e-06,6.713467549e-09,-2.514755496e-05,-1.913470127e-05
0.3007518797,1.598116805e-06,6.296460068e-09,-2.445461057e-05,-1.849923982e-05
0.301754386,7.545037602e-07,5.905356368e-09,-2.315779725e-05,-1.788488903e-05
0.3027568922,1.5394053e-08,5.538547235e-09,-2.195264775e-05,-1.729094716e-05
0.3037593985,2.829353184e-07,5.194523431e-09,-2.14436723e-05,-1.671673582e-05
0.3047619048,1.174093154e-06,4.87186949e-09,-2.13750334e-05,-1.616159917e-05
0.305764411,1.516338688e-06,4.569257881e-09,-2.096074926e-05,-1.562490324e-05
0.3067669173,8.443628607e-07,4.285443551e-09,-1.988712977e-05,-1.51060351e-05
0.3077694236,-1.268747013e-08,4.0192588e-09,-1.870785539e-05,-1.460440226e-05
